Date,Player_Name,Target,Line,Odds_Over,Odds_Under,Pred_Mean,Pick,Pick_EV,Pick_Odds,FairOdds_Over,FairOdds_Under
2025-12-29,Jamal Murray,PTS,25.5,1.78,1.96,86.2,OVER,0.44,1.78,1.91,2.1
2025-12-29,Andrew Wiggins,PTS,15.5,1.85,1.89,10.0,SKIP,0.0,0.0,1.98,2.02
2025-12-29,Bam Adebayo,PTS,16.5,1.91,1.83,31.5,OVER,0.153,1.91,2.04,1.96
2025-12-29,Pelle Larsson,PTS,9.5,1.88,1.88,-37.0,UNDER,0.563,1.88,2.0,2.0
2025-12-29,Kel'el Ware,PTS,13.5,1.83,1.91,1.9,UNDER,0.129,1.91,1.96,2.04
2025-12-29,Davion Mitchell,AST,7.5,2.04,1.72,31.8,OVER,0.65,2.04,2.19,1.84
2025-12-29,Jamal Murray,AST,7.5,2.16,1.65,26.5,OVER,0.697,2.16,2.31,1.76
2025-12-29,Norman Powell,AST,2.5,1.68,2.12,-0.2,UNDER,0.195,2.12,1.79,2.26
2025-12-29,Jamal Murray,REB,4.5,2.22,1.62,-8.0,UNDER,0.199,1.62,2.37,1.73
2025-12-29,Bruce Brown,REB,4.5,1.83,1.91,1.2,UNDER,0.062,1.91,1.96,2.04
2025-12-29,Norman Powell,REB,3.5,2.0,1.76,-8.5,UNDER,0.291,1.76,2.14,1.88
2025-12-29,Kel'el Ware,REB,10.5,1.94,1.8,45.8,OVER,0.643,1.94,2.08,1.93
2025-12-29,Bam Adebayo,REB,8.5,1.71,2.06,36.6,OVER,0.403,1.71,1.83,2.2
2025-12-29,Andrew Wiggins,REB,4.5,1.98,1.77,-3.2,UNDER,0.141,1.77,2.12,1.89
2025-12-29,Peyton Watson,REB,5.5,1.94,1.8,1.7,SKIP,0.0,0.0,2.08,1.93
2025-12-29,Pelle Larsson,REB,2.5,1.63,2.18,-19.6,UNDER,1.0,2.18,1.75,2.34
2025-12-29,Davion Mitchell,PTS+REB+AST,18.5,1.8,1.94,-4.2,UNDER,0.253,1.94,1.93,2.08
2025-12-29,Norman Powell,PTS+REB+AST,30.5,1.88,1.88,50.7,OVER,0.155,1.88,2.0,2.0
2025-12-29,Bam Adebayo,PTS+REB+AST,28.5,1.93,1.82,61.1,OVER,0.33,1.93,2.06,1.94
2025-12-29,Andrew Wiggins,PTS+REB+AST,23.5,1.98,1.77,1.0,UNDER,0.137,1.77,2.12,1.89
2025-12-29,Bruce Brown,PTS+REB+AST,15.5,1.77,1.98,-41.0,UNDER,0.684,1.98,1.89,2.12
2025-12-29,Jamal Murray,PTS+REB+AST,37.5,1.88,1.88,104.7,OVER,0.526,1.88,2.0,2.0
2025-12-29,Peyton Watson,PTS+REB,18.5,1.88,1.88,-13.0,UNDER,0.337,1.88,2.0,2.0
2025-12-29,Andrew Wiggins,PTS+REB,20.5,1.94,1.8,6.8,UNDER,0.063,1.8,2.08,1.93
2025-12-29,Bam Adebayo,PTS+REB,25.5,1.85,1.89,68.0,OVER,0.378,1.85,1.98,2.02
2025-12-29,Norman Powell,PTS+REB,27.5,1.88,1.88,50.9,OVER,0.195,1.88,2.0,2.0
2025-12-29,Bruce Brown,PTS+REB,13.5,1.88,1.88,-27.6,UNDER,0.469,1.88,2.0,2.0
2025-12-29,Davion Mitchell,PTS+REB,11.5,1.96,1.78,-36.0,UNDER,0.443,1.78,2.1,1.91
2025-12-29,Pelle Larsson,PTS+REB,12.5,1.88,1.88,-56.6,UNDER,0.715,1.88,2.0,2.0
2025-12-29,Kel'el Ware,PTS+REB,24.5,1.93,1.82,47.7,OVER,0.251,1.93,2.06,1.94
2025-12-29,Jamal Murray,PTS+REB,30.5,1.93,1.82,78.1,OVER,0.439,1.93,2.06,1.94
2025-12-29,Norman Powell,PTS+AST,26.5,1.78,1.96,59.1,OVER,0.224,1.78,1.91,2.1
2025-12-29,Bam Adebayo,PTS+AST,18.5,1.77,1.98,24.5,SKIP,0.0,0.0,1.89,2.12
2025-12-29,Andrew Wiggins,PTS+AST,18.5,1.88,1.88,4.2,UNDER,0.122,1.88,2.0,2.0
2025-12-29,Bruce Brown,PTS+AST,11.5,1.98,1.77,-42.2,UNDER,0.527,1.77,2.12,1.89
2025-12-29,Davion Mitchell,PTS+AST,16.5,1.91,1.83,13.1,SKIP,0.0,0.0,2.04,1.96
2025-12-29,Jamal Murray,PTS+AST,33.5,1.89,1.85,112.7,OVER,0.624,1.89,2.02,1.98
2025-12-29,Andrew Wiggins,REB+AST,7.5,2.06,1.71,-9.0,UNDER,0.261,1.71,2.2,1.83
2025-12-29,Bam Adebayo,REB+AST,11.5,1.8,1.94,29.7,OVER,0.267,1.8,1.93,2.08
